Jerry Stackhouse,34
2009,"['Derek Fisher', 'Lamar Odom', 'Josh Powell', 'Vladimir Radmanović', 'Tony Battie']"
2008,"['Sam Cassell', 'Eddie House', 'Derek Fisher', 'Lamar Odom', 'Vladimir Radmanović']"
2007,"['Francisco Elson', 'Melvin Ely', 'Donyell Marshall']"
2006,"['Jason Kapono', 'Doug Christie', 'Dirk Nowitzki', 'Josh Powell']"
2005,"['Anthony Goldwire', 'Smush Parker']"
2004,"['Tremaine Fowlkes', 'Mike James', 'Željko Rebrača', 'Derek Fisher', 'Kareem Rush']"
2003,"['Anthony Goldwire', 'Kerry Kittles', 'Aaron Williams']"
2002,"['Derek Fisher', 'Steve Goodrich', 'Kerry Kittles', 'Aaron Williams']"
2001,"['Derek Fisher', 'Allen Iverson', 'Toni Kukoč', 'Theo Ratliff']"
2000,"['Derek Fisher', 'Glen Rice']"
1999,"['Antonio Daniels', 'Will Perdue', 'Rick Brunson']"
1998,"['Randy Brown', 'Toni Kukoč', 'Rusty LaRue', 'Dickey Simpkins', 'Howard Eisley']"
1997,"['Randy Brown', 'Toni Kukoč', 'Dickey Simpkins', 'Howard Eisley']"
1996,"['Randy Brown', 'Toni Kukoč', 'Dickey Simpkins', 'Hersey Hawkins']"
1995,['Sam Cassell']
1994,"['Sam Cassell', 'John Starks']"
1993,"['B.J. Armstrong', 'Will Perdue']"
1992,"['B.J. Armstrong', 'Will Perdue']"
1991,"['B.J. Armstrong', 'Will Perdue']"
Ray Allen,29
2021,"[""E'Twaun Moore""]"
2020,"['Avery Bradley', 'LeBron James', 'Rajon Rondo', 'Udonis Haslem']"
2018,"['Jeff Green', 'LeBron James', 'Kendrick Perkins', 'Dwyane Wade']"
2017,"['Chris Andersen', 'LeBron James', 'James Jones', 'DeAndre Liggins']"
2016,"['LeBron James', 'James Jones']"
2015,"['LeBron James', 'James Jones', 'Mike Miller', 'Kendrick Perkins']"
2014,"['Chris Andersen', 'Joel Anthony', 'Shane Battier', 'Michael Beasley', 'Chris Bosh', 'Mario Chalmers', 'Norris Cole', 'Toney Douglas', 'Justin Hamilton', 'Udonis Haslem', 'LeBron James', 'James Jones', 'Rashard Lewis', 'DeAndre Liggins', 'Roger Mason', 'Greg Oden', 'Dwyane Wade']"
2013,"['Chris Andersen', 'Joel Anthony', 'Shane Battier', 'Chris Bosh', 'Mario Chalmers', 'Norris Cole', 'Josh Harrellson', 'Terrel Harris', 'Udonis Haslem', 'Juwan Howard', 'LeBron James', 'James Jones', 'Rashard Lewis', 'Mike Miller', 'Dexter Pittman', 'Jarvis Varnado', 'Dwyane Wade']"
2012,"['Joel Anthony', 'Shane Battier', 'Chris Bosh', 'Mario Chalmers', 'Norris Cole', 'Terrel Harris', 'Udonis Haslem', 'Juwan Howard', 'LeBron James', 'James Jones', 'Mike Miller', 'Dexter Pittman', 'Dwyane Wade', 'Nick Collison', 'Kendrick Perkins']"
2011,"['Sasha Pavlović', 'Joel Anthony', 'Carlos Arroyo', 'Chris Bosh', 'Mario Chalmers', 'Udonis Haslem', 'Eddie House', 'Juwan Howard', 'LeBron James', 'James Jones', 'Mike Miller', 'Dexter Pittman', 'Dwyane Wade']"
2010,"['Tony Allen', 'Marquis Daniels', 'Glen Davis', 'Michael Finley', 'Kevin Garnett', 'J.R. Giddens', 'Eddie House', 'Lester Hudson', 'Marcus Landry', 'Kendrick Perkins', 'Paul Pierce', 'Nate Robinson', 'Rajon Rondo', 'Brian Scalabrine', 'Henry Walker', 'Rasheed Wallace', 'Shelden Williams']"
2009,"['Vladimir Radmanović', 'Rafer Alston', 'Rashard Lewis', 'Mickaël Piétrus']"
2008,"['Tony Allen', 'P.J. Brown', 'Sam Cassell', 'Glen Davis', 'Kevin Garnett', 'Eddie House', 'Kendrick Perkins', 'Paul Pierce', 'Scot Pollard', 'James Posey', 'Leon Powe', 'Gabe Pruitt', 'Rajon Rondo', 'Brian Scalabrine', 'Vladimir Radmanović']"
2007,"['Brent Barry', 'Michael Finley', 'LeBron James', 'Sasha Pavlović', 'Scot Pollard']"
2006,"['Udonis Haslem', ""Shaquille O'Neal"", 'James Posey', 'Dwyane Wade', 'Marquis Daniels']"
2005,"['Brent Barry', 'Glenn Robinson', 'Mike Wilks', 'Carlos Arroyo', 'Elden Campbell', 'Darvin Ham', 'Lindsey Hunter', 'Rasheed Wallace']"
2004,"['Elden Campbell', 'Darvin Ham', 'Lindsey Hunter', 'Rasheed Wallace', ""Shaquille O'Neal"", 'Jamal Sampson']"
2003,['Brian Scalabrine']
2002,"['Lindsey Hunter', ""Shaquille O'Neal"", 'Brian Scalabrine']"
2001,"['Greg Foster', ""Shaquille O'Neal"", 'Tyrone Hill', 'Toni Kukoč', 'Kevin Ollie']"
2000,"[""Shaquille O'Neal""]"
1999,"['Antonio Daniels', 'Jerome Kersey', 'Rick Brunson']"
1998,"['Jason Caffey', 'Toni Kukoč', 'Greg Foster']"
1997,"['Jason Caffey', 'Toni Kukoč', 'Greg Foster']"
1996,"['Jason Caffey', 'Toni Kukoč', 'Ervin Johnson']"
1995,"['Tim Breaux', 'Chucky Brown', 'Sam Cassell', ""Shaquille O'Neal"", 'Keith Tower']"
1994,"['Sam Cassell', 'Greg Anthony', 'Anthony Mason']"
1993,['Scott Williams']
1992,"['Scott Williams', 'Jerome Kersey']"
Linton Johnson,29
2021,['Chris Paul']
2020,"['Jared Dudley', 'J.R. Smith']"
2018,"['David West', 'José Calderón', 'Derrick Rose', 'J.R. Smith']"
2017,"['David West', 'Richard Jefferson', 'J.R. Smith']"
2016,"['Richard Jefferson', 'J.R. Smith', 'Leandro Barbosa']"
2015,"['Leandro Barbosa', 'J.R. Smith']"
2014,"['Shannon Brown', 'Boris Diaw', 'Manu Ginóbili', 'Tony Parker', 'Chris Bosh']"
2013,"['Chris Bosh', 'Boris Diaw', 'Manu Ginóbili', 'Tony Parker']"
2012,"['Chris Bosh', 'Eddy Curry', 'Nazr Mohammed']"
2011,"['Alexis Ajinça', 'Tyson Chandler', 'Jason Kidd', 'Peja Stojaković', 'Chris Bosh']"
2010,"['Shannon Brown', 'Adam Morrison']"
2009,"['Shannon Brown', 'Adam Morrison']"
2008,['P.J. Brown']
2007,"['Brent Barry', 'Bruce Bowen', 'Manu Ginóbili', 'Robert Horry', 'Tony Parker', 'Beno Udrih', 'Jacque Vaughn', 'Shannon Brown', 'Donyell Marshall']"
2006,"['Jason Kapono', ""Shaquille O'Neal""]"
2005,"['Brent Barry', 'Bruce Bowen', 'Devin Brown', 'Manu Ginóbili', 'Robert Horry', 'Sean Marks', 'Tony Massenburg', 'Nazr Mohammed', 'Rasho Nesterović', 'Tony Parker', 'Glenn Robinson', 'Beno Udrih', 'Mike Wilks', 'Carlos Delfino', 'Ronald Dupree', 'Lindsey Hunter']"
2004,"['Lindsey Hunter', ""Shaquille O'Neal"", 'Jannero Pargo']"
2003,"['Bruce Bowen', 'Devin Brown', 'Speedy Claxton', 'Manu Ginóbili', 'Tony Parker', 'Jason Collins', 'Richard Jefferson', 'Jason Kidd', 'Aaron Williams']"
2002,"['Robert Horry', 'Lindsey Hunter', ""Shaquille O'Neal"", 'Jason Collins', 'Richard Jefferson', 'Jason Kidd', 'Aaron Williams']"
2001,"['Robert Horry', ""Shaquille O'Neal"", 'Raja Bell', 'Nazr Mohammed']"
2000,"['Robert Horry', ""Shaquille O'Neal"", 'Jalen Rose']"
1999,['Rick Brunson']
1998,"['Scottie Pippen', 'Jacque Vaughn']"
1997,['Scottie Pippen']
1996,['Scottie Pippen']
1995,"['Robert Horry', ""Shaquille O'Neal""]"
1994,['Robert Horry']
1993,['Scottie Pippen']
1992,"['Scottie Pippen', 'Clifford Robinson']"
