Jerry Stackhouse,34
2006,"['Udonis Haslem', 'Jason Kapono', ""Shaquille O'Neal"", 'Dwyane Wade', 'Dorell Wright', 'Darrell Armstrong', 'Marquis Daniels', 'Rawle Marshall', 'Josh Powell']"
2005,"['Carlos Arroyo', 'Rasheed Wallace']"
2004,"['Rasheed Wallace', ""Shaquille O'Neal"", 'Kareem Rush']"
2003,"['Stephen Jackson', 'Steve Smith', 'Anthony Johnson']"
2002,"[""Shaquille O'Neal"", 'Samaki Walker', 'Anthony Johnson']"
2001,"[""Shaquille O'Neal"", 'Isaiah Rider', 'Aaron McKie', 'Kevin Ollie']"
2000,"[""Shaquille O'Neal"", 'Jonathan Bender', 'Travis Best', 'Austin Croshere', 'Dale Davis', 'Jeff Foster', 'Al Harrington', 'Derrick McKey', 'Reggie Miller', 'Sam Perkins', 'Jalen Rose', 'Žan Tabak']"
1999,"['Rick Brunson', 'Chris Dudley']"
1998,"['Joe Kleine', 'Scottie Pippen']"
1997,"['Scottie Pippen', 'Ruben Nembhard']"
1996,"['Scottie Pippen', 'Vincent Askew', 'Sam Perkins', 'Detlef Schrempf']"
1995,"['Žan Tabak', 'Darrell Armstrong', ""Shaquille O'Neal""]"
1994,['Greg Anthony']
1993,['Scottie Pippen']
1992,"['Scottie Pippen', 'Clifford Robinson', 'Ennis Whatley']"
1991,"['Scottie Pippen', 'Sam Perkins']"
1990,['Clifford Robinson']
Shawn Marion,32
2021,['Jae Crowder']
2020,"['LeBron James', 'J.R. Smith', 'Dion Waiters', 'Jae Crowder', 'Udonis Haslem']"
2019,['Shaun Livingston']
2018,"['Shaun Livingston', 'José Calderón', 'Jae Crowder', 'LeBron James', 'Kevin Love', 'Kendrick Perkins', 'Iman Shumpert', 'J.R. Smith', 'Tristan Thompson', 'Dwyane Wade']"
2017,"['Shaun Livingston', 'Anderson Varejão', 'Kyrie Irving', 'LeBron James', 'Dahntay Jones', 'James Jones', 'Kevin Love', 'Iman Shumpert', 'J.R. Smith', 'Tristan Thompson']"
2016,"['Jared Cunningham', 'Matthew Dellavedova', 'Joe Harris', 'Kyrie Irving', 'LeBron James', 'Dahntay Jones', 'James Jones', 'Kevin Love', 'Timofey Mozgov', 'Iman Shumpert', 'J.R. Smith', 'Tristan Thompson', 'Anderson Varejão', 'Leandro Barbosa', 'Shaun Livingston']"
2015,"['Leandro Barbosa', 'Shaun Livingston', 'Lou Amundson', 'Will Cherry', 'Matthew Dellavedova', 'Joe Harris', 'Brendan Haywood', 'Kyrie Irving', 'LeBron James', 'James Jones', 'Alex Kirk', 'Kevin Love', 'Mike Miller', 'Timofey Mozgov', 'Kendrick Perkins', 'A.J. Price', 'Iman Shumpert', 'J.R. Smith', 'Tristan Thompson', 'Anderson Varejão', 'Dion Waiters']"
2014,"['Boris Diaw', 'Joel Anthony', 'Michael Beasley', 'Chris Bosh', 'Mario Chalmers', 'Udonis Haslem', 'LeBron James', 'James Jones', 'Dwyane Wade']"
2013,"['Joel Anthony', 'Chris Bosh', 'Mario Chalmers', 'Udonis Haslem', 'LeBron James', 'James Jones', 'Mike Miller', 'Dwyane Wade', 'DeJuan Blair', 'Boris Diaw']"
2012,"['Joel Anthony', 'Chris Bosh', 'Mario Chalmers', 'Eddy Curry', 'Udonis Haslem', 'LeBron James', 'James Jones', 'Mike Miller', 'Dwyane Wade', 'Daequan Cook', 'Derek Fisher', 'Kendrick Perkins']"
2011,"['Alexis Ajinça', 'J.J. Barea', 'Rodrigue Beaubois', 'Corey Brewer', 'Caron Butler', 'Brian Cardinal', 'Tyson Chandler', 'Brendan Haywood', 'Dominique Jones', 'Jason Kidd', 'Ian Mahinmi', 'Steve Novak', 'Dirk Nowitzki', 'Sasha Pavlović', 'DeShawn Stevenson', 'Peja Stojaković', 'Jason Terry', 'Joel Anthony', 'Chris Bosh', 'Mario Chalmers', 'Erick Dampier', 'Udonis Haslem', 'Eddie House', 'LeBron James', 'James Jones', 'Jamaal Magloire', 'Mike Miller', 'Dwyane Wade']"
2010,"['Derek Fisher', 'Lamar Odom', 'Eddie House', 'Kendrick Perkins']"
2009,"['Derek Fisher', 'Lamar Odom']"
2008,"['Eddie House', 'Kendrick Perkins', 'Derek Fisher', 'Lamar Odom']"
2007,"['Drew Gooden', 'LeBron James', 'Sasha Pavlović', 'Anderson Varejão']"
2006,"['Earl Barron', 'Udonis Haslem', 'Jason Kapono', 'Alonzo Mourning', ""Shaquille O'Neal"", 'Dwyane Wade', 'Jason Williams', 'Dorell Wright', 'Erick Dampier', 'Devin Harris', 'Josh Howard', 'Dirk Nowitzki', 'Jason Terry']"
2005,"['Sean Marks', 'Antonio McDyess', 'Smush Parker']"
2004,"['Mike James', 'Derek Fisher', ""Shaquille O'Neal""]"
2003,"['Jason Kidd', 'Rodney Rogers']"
2002,"['Joe Crispin', 'Derek Fisher', ""Shaquille O'Neal"", 'Jason Kidd']"
